"cod_municipio","volume_agua_produzido","agua_consumida","populacao_total","Estado.x","agua_consumida_por_habitante"
250530,NA,NA,2523,"PB",NA
250535,0,0,5246,"PB",0
250540,0,0,8253,"PB",0
250550,197.04,81.98,3744,"PB",0.218963675213675
250560,1326,7.94,6591,"PB",0.0120467303899257
250570,0,0,10456,"PB",0
250590,355,112.95,3485,"PB",0.324103299856528
250600,5158,24.2,32785,"PB",0.00738142443190483
250610,1360,331.16,11378,"PB",0.291052909122869
250620,757,2.85,2986,"PB",0.00954454119223041
250625,0,0,8450,"PB",0
250650,88.8,75.31,3376,"PB",0.223074644549763
250660,1039,294.69,5974,"PB",0.493287579511215
250670,447,150.33,11749,"PB",0.127951315005532
250680,618.69,466.05,18042,"PB",0.258313934153642
250690,1799.45,797.78,24565,"PB",0.324762874007735
250700,1036.07,545.07,24499,"PB",0.222486632107433
250720,1168,263.56,10739,"PB",0.245423223763851
250740,1236,12.87,7717,"PB",0.0166774653362706
250770,507.93,373.04,17902,"PB",0.208378952072394
250780,NA,NA,7054,"PB",NA
250800,900,250.47,9892,"PB",0.253204609785685
250810,83.46,69.09,4687,"PB",0.147407723490506
250830,2641,603.9,27247,"PB",0.221639079531692
250840,352,49.57,2765,"PB",0.179276672694394
250850,162.25,132.62,7355,"PB",0.180312712440517
250855,457,69.55,4254,"PB",0.163493182886695
250870,0,0,4026,"PB",0
250880,1275,331.85,5672,"PB",0.585066995768688
250900,2314,9.26,11066,"PB",0.0083679739743358
250915,3579.63,3472.69,6522,"PB",5.32457835019932
250920,263.17,130.44,13654,"PB",0.0955324447048484
250937,219,23.76,2869,"PB",0.0828163123039387
250939,1481,8.67,6441,"PB",0.0134606427573358
250940,788,394.99,13317,"PB",0.296605842156642
250950,0,0,5528,"PB",0
250960,115.88,96.32,4759,"PB",0.202395461231351
250970,1106.93,872.53,32774,"PB",0.266226276926832
250990,1031,129.68,10450,"PB",0.124095693779904
251000,104.45,86.26,7318,"PB",0.117873735993441
251010,0,0,10650,"PB",0
251020,637,245.41,5999,"PB",0.409084847474579
251030,0,3.22,4784,"PB",0.00673076923076923
251040,812,300.67,6646,"PB",0.452407463135721
251050,110.65,64.16,3880,"PB",0.165360824742268
251060,686,6.48,3023,"PB",0.0214356599404565
251065,33.35,29.96,1795,"PB",0.166908077994429
251070,76.66,71.68,2383,"PB",0.300797314309694
251080,32390,6589.38,106314,"PB",0.619803600654665
251090,1288,543.11,12216,"PB",0.444589063523248
251100,0,500,3796,"PB",1.31717597471022
251110,1216,6.28,7982,"PB",0.00786770233024305
